transaction_id,customer_id,employee_id,transaction_date,category,amount,payment_method,status
46,28,15,2024-12-02,Grocery,59169.42,UPI,SUCCESS
47,19,9,2025-07-07,Travel,59908.69,UPI,SUCCESS
48,17,1,2025-01-01,Grocery,44205.08,UPI,SUCCESS
49,34,4,2024-05-09,Software,31629.95,UPI,SUCCESS
50,61,29,2025-01-05,Home,44565.58,Cash,REFUNDED
51,29,40,2024-02-14,Software,58763.7,NetBanking,FAILED
52,83,2,2024-03-03,Fashion,63562.66,Cash,SUCCESS
53,63,46,2025-03-30,Electronics,67455.08,NetBanking,REFUNDED
54,19,5,2024-05-09,Travel,46861.38,NetBanking,FAILED
55,77,34,2024-10-28,Fashion,37965.78,Cash,SUCCESS
56,90,8,2025-11-01,Software,65840.2,Card,FAILED
57,58,15,2025-02-27,Travel,62073.7,Cash,FAILED
58,94,7,2024-11-16,Fashion,23508.02,NetBanking,SUCCESS
59,20,44,2025-04-30,Electronics,6932.74,UPI,SUCCESS
60,56,7,2025-01-16,Grocery,41772.17,NetBanking,SUCCESS
61,53,23,2025-11-12,Fashion,65120.1,UPI,SUCCESS
62,77,20,2024-12-26,Electronics,43386.1,Card,SUCCESS
63,85,31,2024-08-17,Electronics,26323.54,NetBanking,SUCCESS
64,98,18,2025-08-10,Grocery,60560.88,UPI,REFUNDED
65,85,45,2024-09-30,Electronics,13613.16,NetBanking,SUCCESS
66,45,1,2024-07-04,Grocery,42517.45,Cash,SUCCESS
67,19,48,2025-10-10,Electronics,6972.65,Card,FAILED
68,54,30,2024-12-15,Grocery,27816.98,NetBanking,REFUNDED
69,77,6,2024-02-23,Grocery,11890.0,UPI,SUCCESS
70,35,29,2025-11-08,Fashion,36476.06,Cash,FAILED
71,35,14,2025-06-08,Electronics,25953.45,UPI,SUCCESS
72,87,44,2025-08-30,Fashion,39567.36,NetBanking,SUCCESS
73,29,26,2025-09-05,Electronics,675.76,NetBanking,SUCCESS
74,99,9,2024-09-18,Travel,24676.36,UPI,FAILED
75,96,28,2024-06-28,Grocery,28577.54,Card,REFUNDED
76,72,43,2024-12-28,Electronics,29840.63,UPI,FAILED
77,3,30,2024-03-20,Travel,43224.36,Cash,FAILED
78,38,8,2025-02-18,Electronics,72468.36,Card,REFUNDED
79,59,45,2025-01-05,Electronics,32809.71,UPI,SUCCESS
80,56,38,2025-02-14,Home,5990.67,NetBanking,SUCCESS
81,29,22,2024-06-21,Electronics,38335.2,UPI,REFUNDED
82,66,13,2024-12-23,Travel,54580.7,Card,SUCCESS
83,14,10,2024-09-19,Grocery,13095.08,Card,SUCCESS
84,23,50,2025-10-05,Fashion,34850.08,Cash,REFUNDED
85,83,41,2025-10-01,Travel,64832.09,NetBanking,SUCCESS
86,57,5,2025-04-25,Fashion,47390.75,NetBanking,REFUNDED
87,8,23,2025-06-03,Electronics,23349.55,Cash,SUCCESS
88,8,24,2024-10-20,Electronics,48385.52,UPI,REFUNDED
89,77,33,2025-01-28,Fashion,43566.67,UPI,FAILED
90,74,42,2024-07-11,Travel,45414.94,Card,SUCCESS
91,58,7,2024-12-17,Software,6416.25,Card,SUCCESS
92,32,46,2025-03-24,Fashion,39352.73,Card,SUCCESS
93,48,19,2025-01-31,Fashion,58107.41,UPI,SUCCESS
94,9,22,2024-04-06,Home,50910.61,NetBanking,SUCCESS
95,93,43,2025-09-09,Grocery,25068.82,Card,SUCCESS
96,40,42,2025-12-16,Software,29457.65,UPI,SUCCESS
97,72,25,2025-10-20,Travel,61007.54,UPI,FAILED
98,66,24,2024-01-19,Travel,23234.07,Card,SUCCESS
99,99,32,2024-07-15,Grocery,74998.25,Card,SUCCESS
100,38,7,2025-06-03,Home,62650.48,UPI,SUCCESS
101,99,40,2024-05-14,Home,28316.32,Card,SUCCESS
102,89,50,2025-10-01,Grocery,54116.61,UPI,FAILED
103,47,44,2024-08-31,Fashion,45833.6,Cash,SUCCESS
104,69,16,2024-11-12,Fashion,67807.68,Card,SUCCESS
105,87,37,2025-03-27,Fashion,57730.95,Cash,REFUNDED
106,68,27,2024-06-14,Grocery,60114.32,Card,SUCCESS
107,7,42,2025-05-07,Travel,41635.1,UPI,REFUNDED
108,16,19,2024-03-26,Grocery,20532.07,Card,FAILED
109,12,15,2025-04-06,Travel,69792.35,Cash,SUCCESS
110,51,33,2025-01-17,Grocery,29023.84,UPI,SUCCESS
111,29,2,2024-11-22,Electronics,62954.3,NetBanking,SUCCESS
112,18,3,2024-10-20,Fashion,52235.79,Card,FAILED
113,58,40,2024-01-06,Electronics,1523.39,Card,SUCCESS
114,71,47,2025-09-15,Home,31801.78,NetBanking,SUCCESS
115,39,8,2024-02-18,Grocery,31544.93,Cash,SUCCESS
116,15,32,2025-09-03,Home,1331.01,Card,SUCCESS
117,38,28,2024-01-02,Home,26525.92,Cash,SUCCESS
118,86,43,2024-03-28,Home,73101.62,UPI,REFUNDED
119,70,33,2025-06-03,Home,1623.04,Cash,SUCCESS
120,82,25,2025-01-17,Travel,56074.01,NetBanking,SUCCESS
121,45,16,2025-11-03,Software,7864.42,NetBanking,SUCCESS
122,6,23,2025-07-13,Travel,61031.81,Card,FAILED
123,90,31,2025-10-08,Grocery,60881.18,UPI,FAILED
124,5,19,2024-07-25,Electronics,59354.08,UPI,SUCCESS
125,40,33,2025-02-11,Home,35557.64,UPI,SUCCESS
126,37,23,2024-02-18,Software,24961.16,UPI,SUCCESS
127,56,26,2025-03-26,Fashion,25493.84,Card,FAILED
128,89,32,2025-01-11,Home,20077.38,UPI,FAILED
129,11,28,2025-09-08,Grocery,40956.03,NetBanking,SUCCESS
130,11,21,2025-11-07,Travel,23056.54,Cash,SUCCESS
131,89,29,2024-12-25,Fashion,3272.4,NetBanking,REFUNDED
132,56,18,2025-10-16,Electronics,5720.58,Cash,SUCCESS
133,66,48,2025-11-26,Grocery,71463.93,Card,REFUNDED
134,87,29,2024-02-05,Grocery,5135.78,NetBanking,SUCCESS
135,50,37,2024-02-03,Home,11592.52,Cash,SUCCESS
136,48,29,2024-03-19,Home,10413.36,NetBanking,FAILED
137,41,42,2024-10-12,Grocery,72042.95,UPI,SUCCESS
138,64,34,2025-01-31,Home,8920.3,NetBanking,FAILED
139,28,40,2024-10-19,Software,68744.27,Cash,SUCCESS
140,16,9,2024-03-16,Fashion,13031.96,Cash,SUCCESS
141,88,21,2025-11-14,Travel,53244.58,NetBanking,SUCCESS
142,21,46,2025-12-27,Software,47863.73,NetBanking,REFUNDED
143,29,8,2024-07-24,Grocery,17831.54,Cash,SUCCESS
144,47,36,2025-08-09,Travel,35108.7,Card,REFUNDED
145,12,5,2024-11-12,Fashion,74969.67,Cash,REFUNDED
146,53,50,2025-02-23,Home,5623.93,NetBanking,SUCCESS
147,58,30,2025-11-27,Home,25904.16,Card,SUCCESS
148,56,33,2024-02-26,Electronics,38905.85,NetBanking,SUCCESS
149,21,21,2025-12-27,Grocery,26017.13,NetBanking,SUCCESS
150,33,13,2025-10-12,Home,20656.38,NetBanking,REFUNDED
151,69,6,2025-05-29,Software,12730.83,Card,SUCCESS
152,85,40,2025-09-11,Travel,63205.5,UPI,SUCCESS
153,11,3,2025-10-18,Home,19922.73,Card,REFUNDED
154,54,40,2025-10-16,Electronics,37403.05,NetBanking,SUCCESS
155,62,16,2025-12-02,Fashion,22377.8,UPI,SUCCESS
156,21,29,2025-03-01,Fashion,34886.72,NetBanking,REFUNDED
157,19,21,2024-11-22,Software,74102.95,NetBanking,FAILED
158,17,49,2025-01-14,Home,42167.68,NetBanking,SUCCESS
159,60,8,2024-09-30,Fashion,18669.12,UPI,SUCCESS
160,38,25,2025-09-22,Fashion,18695.44,Card,SUCCESS
161,74,47,2024-11-16,Grocery,57257.79,Cash,REFUNDED
162,60,32,2024-11-11,Fashion,1835.9,Cash,REFUNDED
163,59,16,2024-08-08,Home,26531.84,UPI,SUCCESS
164,64,39,2025-10-31,Software,35346.96,UPI,SUCCESS
165,56,9,2024-09-27,Software,27496.75,Cash,SUCCESS
166,6,26,2024-02-22,Home,42180.08,NetBanking,REFUNDED
167,37,5,2025-01-30,Home,33831.54,NetBanking,REFUNDED
168,88,40,2024-05-01,Grocery,73133.7,Cash,SUCCESS
169,44,36,2025-01-09,Grocery,15009.44,Cash,REFUNDED
170,6,3,2024-02-09,Grocery,53548.03,Cash,REFUNDED
171,59,10,2025-09-12,Home,10569.6,NetBanking,SUCCESS
172,51,40,2024-11-02,Home,25294.37,Cash,REFUNDED
173,39,31,2024-01-18,Travel,24909.85,UPI,FAILED
174,75,20,2025-12-05,Software,2095.87,Cash,SUCCESS
175,84,50,2025-08-15,Home,17142.99,UPI,REFUNDED
176,62,11,2025-06-20,Software,54116.59,Cash,SUCCESS
177,88,16,2024-02-02,Home,71120.57,UPI,SUCCESS
178,3,29,2024-11-17,Fashion,11442.2,Card,FAILED
179,65,50,2025-09-18,Fashion,65474.05,UPI,SUCCESS
180,67,14,2025-07-28,Travel,74859.4,Cash,REFUNDED
181,49,21,2024-06-26,Fashion,68418.1,NetBanking,REFUNDED
182,46,44,2025-11-28,Software,60293.57,NetBanking,REFUNDED
183,62,13,2024-09-09,Travel,41900.69,Card,SUCCESS
184,99,19,2025-12-22,Grocery,51798.97,Cash,SUCCESS
185,62,23,2025-07-27,Software,20581.97,UPI,REFUNDED
186,87,35,2025-01-23,Fashion,61396.47,Card,SUCCESS
187,6,19,2024-03-21,Travel,69308.32,NetBanking,FAILED
188,28,13,2025-07-05,Travel,69983.49,NetBanking,SUCCESS
189,14,40,2025-08-23,Grocery,18260.11,Card,SUCCESS
190,7,7,2025-02-27,Travel,53830.12,UPI,SUCCESS
191,1,36,2024-06-10,Fashion,49001.67,Cash,FAILED
192,84,13,2024-10-21,Travel,21477.61,UPI,SUCCESS
193,84,37,2024-08-25,Home,55427.62,UPI,SUCCESS
194,54,12,2024-02-07,Fashion,59118.25,Card,SUCCESS
195,5,1,2024-11-01,Home,45248.44,NetBanking,SUCCESS
196,59,42,2025-07-10,Home,37094.04,Card,REFUNDED
197,60,18,2024-07-16,Electronics,24868.24,Cash,SUCCESS
198,92,12,2024-01-15,Software,25349.7,NetBanking,REFUNDED
199,87,49,2024-07-16,Grocery,45860.49,Cash,FAILED
200,66,21,2024-03-29,Fashion,50227.26,Card,SUCCESS
201,62,21,2024-09-11,Electronics,19632.82,Card,FAILED
202,97,18,2024-12-03,Travel,43726.31,UPI,SUCCESS
203,84,24,2025-12-10,Grocery,4753.11,UPI,FAILED
204,40,11,2025-02-19,Software,37738.78,NetBanking,SUCCESS
205,82,19,2025-01-11,Home,16641.61,Card,FAILED
206,20,30,2025-09-12,Travel,31246.84,Cash,REFUNDED
207,86,14,2024-09-10,Software,56629.99,UPI,REFUNDED
208,58,34,2025-12-21,Travel,5949.89,UPI,SUCCESS
209,71,33,2024-07-26,Home,40295.85,Card,SUCCESS
210,67,29,2024-04-29,Software,15484.57,Cash,SUCCESS
211,66,29,2024-02-26,Fashion,9982.63,Cash,FAILED
212,73,4,2025-07-26,Fashion,50490.3,NetBanking,SUCCESS
213,51,17,2024-01-04,Software,16420.81,UPI,SUCCESS
214,55,23,2025-12-18,Electronics,40633.15,UPI,SUCCESS
215,61,3,2024-10-20,Fashion,13580.6,Card,FAILED
216,48,25,2025-04-04,Fashion,28235.85,Card,SUCCESS
217,16,12,2025-07-04,Fashion,39710.31,Card,SUCCESS
218,97,2,2024-11-01,Fashion,50545.14,Cash,REFUNDED
219,49,15,2024-09-10,Fashion,26027.36,NetBanking,SUCCESS
220,93,49,2024-04-25,Electronics,60729.92,Cash,REFUNDED
221,99,2,2024-09-03,Grocery,5140.09,UPI,FAILED
222,77,44,2025-12-21,Electronics,18430.59,UPI,FAILED
223,57,15,2025-07-06,Grocery,56603.49,UPI,SUCCESS
224,65,19,2024-08-27,Software,43250.66,NetBanking,SUCCESS
225,39,10,2025-11-07,Home,16656.1,NetBanking,SUCCESS
226,8,36,2025-08-28,Software,68377.17,Cash,REFUNDED
227,64,4,2024-12-18,Software,50383.56,NetBanking,FAILED
228,53,10,2024-11-03,Fashion,13872.54,Cash,SUCCESS
229,29,20,2025-12-25,Grocery,60452.63,UPI,REFUNDED
230,53,27,2025-07-24,Home,10143.55,Card,SUCCESS
231,27,22,2025-10-24,Electronics,69174.74,NetBanking,SUCCESS
232,69,47,2024-07-14,Electronics,20207.77,UPI,SUCCESS
233,25,49,2025-08-24,Software,50391.64,Card,FAILED
234,27,22,2024-11-06,Electronics,15964.4,Card,SUCCESS
235,96,49,2025-05-05,Grocery,52202.41,Card,FAILED
236,31,36,2024-11-25,Travel,28611.56,NetBanking,SUCCESS
237,34,24,2025-06-09,Fashion,35003.7,Cash,SUCCESS
238,27,24,2024-11-16,Fashion,3524.09,Card,SUCCESS
239,3,17,2025-07-20,Home,43477.81,Cash,SUCCESS
240,20,13,2024-12-03,Grocery,28550.0,Card,FAILED
241,71,42,2025-12-02,Travel,19373.77,Cash,FAILED
242,59,11,2024-12-26,Grocery,10582.89,Cash,SUCCESS
243,70,42,2024-03-01,Home,2633.4,UPI,SUCCESS
244,98,1,2025-02-26,Grocery,63206.6,Card,SUCCESS
245,91,10,2024-01-10,Grocery,37979.4,NetBanking,SUCCESS
246,80,41,2025-11-13,Home,68465.08,Cash,SUCCESS
247,1,35,2025-07-18,Fashion,987.64,NetBanking,REFUNDED
248,37,2,2025-05-29,Software,50585.07,Card,SUCCESS
249,13,34,2024-06-01,Grocery,14475.71,NetBanking,SUCCESS
250,35,26,2024-03-21,Travel,71951.4,Cash,REFUNDED
251,32,45,2024-08-19,Travel,51334.72,UPI,SUCCESS
252,12,26,2025-01-23,Fashion,41497.34,UPI,SUCCESS
253,90,11,2024-03-25,Fashion,63415.2,NetBanking,REFUNDED
254,13,34,2024-02-13,Grocery,15935.14,Cash,SUCCESS
255,6,5,2025-12-01,Travel,67458.44,UPI,SUCCESS
256,41,2,2024-07-31,Home,10899.95,Cash,SUCCESS
257,39,11,2025-07-31,Grocery,42545.52,Cash,REFUNDED
258,43,25,2024-05-23,Software,54339.85,NetBanking,SUCCESS
259,13,28,2024-08-25,Electronics,25610.4,Cash,SUCCESS
260,4,41,2024-10-06,Fashion,36846.2,NetBanking,REFUNDED
261,49,28,2024-07-09,Software,43982.05,Cash,SUCCESS
262,99,40,2024-10-29,Grocery,53511.83,UPI,SUCCESS
263,20,25,2025-12-29,Software,11655.34,Cash,SUCCESS
264,47,7,2024-04-03,Electronics,70727.72,Cash,SUCCESS
265,98,18,2024-04-14,Grocery,6638.56,Cash,FAILED
266,72,36,2025-06-08,Fashion,7836.64,UPI,SUCCESS
267,71,6,2025-09-03,Home,58854.46,Cash,SUCCESS
268,38,27,2025-02-01,Electronics,54390.8,Card,REFUNDED
269,67,11,2025-12-02,Fashion,12795.68,NetBanking,SUCCESS
270,35,32,2024-05-29,Electronics,12623.83,NetBanking,FAILED
271,39,31,2024-03-19,Travel,18952.31,Card,FAILED
272,77,40,2024-07-19,Fashion,8112.23,NetBanking,SUCCESS
273,51,22,2025-09-27,Fashion,60325.33,NetBanking,FAILED
274,43,28,2025-10-28,Home,10295.72,NetBanking,REFUNDED
275,89,13,2025-05-05,Travel,13405.03,Cash,SUCCESS
276,38,48,2025-12-12,Software,36876.45,Card,SUCCESS
277,49,18,2025-02-06,Travel,8630.2,Card,REFUNDED
278,70,12,2025-11-29,Home,2116.02,Cash,SUCCESS
279,57,19,2025-12-10,Electronics,61440.52,Cash,FAILED
280,18,41,2024-11-06,Grocery,19025.86,Card,FAILED
281,49,5,2025-04-04,Home,35994.68,Cash,REFUNDED
282,65,45,2025-03-04,Home,2853.71,NetBanking,REFUNDED
283,77,41,2024-03-28,Electronics,57694.66,NetBanking,SUCCESS
284,83,40,2024-02-15,Home,73772.25,Cash,SUCCESS
285,56,7,2024-01-11,Electronics,19479.5,Card,FAILED
286,48,26,2025-04-19,Software,44185.39,Card,SUCCESS
287,4,31,2024-04-17,Travel,31256.56,UPI,SUCCESS
288,94,10,2024-12-22,Travel,25795.69,Card,REFUNDED
289,62,23,2025-05-02,Electronics,32918.63,Cash,SUCCESS
290,9,20,2024-02-15,Software,8719.89,NetBanking,SUCCESS
291,87,11,2024-09-06,Home,13166.55,Card,SUCCESS
292,72,28,2025-04-18,Grocery,59851.91,Card,SUCCESS
293,82,43,2025-03-18,Fashion,2286.5,Card,FAILED
294,76,28,2025-02-02,Electronics,52884.7,Card,SUCCESS
295,97,46,2024-03-05,Home,7721.23,Card,SUCCESS
296,42,13,2025-04-13,Electronics,19750.27,Cash,REFUNDED
297,82,21,2025-09-03,Fashion,45887.0,UPI,SUCCESS
298,46,30,2025-09-24,Grocery,61049.0,NetBanking,REFUNDED
299,76,6,2025-11-19,Grocery,23557.61,Card,SUCCESS
300,15,12,2025-01-17,Software,10687.75,Cash,FAILED
301,77,9,2025-08-11,Fashion,31785.6,Cash,REFUNDED
302,89,42,2024-06-26,Home,12598.23,NetBanking,SUCCESS
303,24,21,2025-04-06,Home,4115.48,NetBanking,SUCCESS
304,63,9,2024-07-18,Fashion,72290.8,Cash,FAILED
305,88,32,2025-03-01,Software,63007.9,Cash,SUCCESS
306,11,37,2024-02-01,Grocery,21977.53,NetBanking,SUCCESS
307,69,19,2024-06-21,Fashion,42467.22,Cash,REFUNDED
308,66,8,2025-08-09,Electronics,20164.88,NetBanking,REFUNDED
309,97,3,2025-03-27,Home,16468.79,Cash,SUCCESS
310,95,42,2024-09-10,Travel,65623.26,UPI,FAILED
311,34,23,2024-03-30,Fashion,64910.26,UPI,SUCCESS
312,27,48,2025-08-25,Software,26362.25,Cash,SUCCESS
313,79,9,2024-07-30,Grocery,60427.49,NetBanking,REFUNDED
314,36,39,2025-07-05,Grocery,24341.66,NetBanking,SUCCESS
315,74,18,2025-06-10,Software,61157.05,Card,FAILED
316,8,18,2025-11-02,Grocery,52636.85,Card,SUCCESS
317,19,46,2024-11-25,Grocery,57134.37,Cash,FAILED
318,19,37,2025-10-09,Travel,47123.18,Cash,FAILED
319,10,41,2024-04-05,Fashion,38719.45,NetBanking,SUCCESS
320,59,32,2024-12-01,Home,285.23,UPI,FAILED
321,82,43,2025-12-15,Travel,63772.96,Cash,SUCCESS
322,55,14,2025-05-21,Travel,24282.6,NetBanking,SUCCESS
323,71,37,2024-05-13,Home,63946.45,NetBanking,SUCCESS
324,6,7,2025-10-03,Fashion,1319.47,Card,FAILED
325,59,1,2025-03-14,Grocery,74677.49,Card,SUCCESS
326,21,18,2024-04-05,Software,27096.61,UPI,SUCCESS
327,86,42,2024-06-18,Electronics,29785.98,NetBanking,SUCCESS
328,55,42,2024-04-03,Software,7229.26,Card,FAILED
329,10,9,2025-08-30,Grocery,39006.37,Cash,SUCCESS
330,2,45,2024-12-17,Electronics,74112.8,Cash,SUCCESS
331,62,5,2024-08-22,Fashion,6790.9,UPI,SUCCESS
332,41,24,2024-11-02,Grocery,28765.81,Card,SUCCESS
333,9,34,2025-07-30,Electronics,45812.91,Card,FAILED
334,45,47,2024-08-06,Software,56145.34,Cash,REFUNDED
335,88,29,2024-08-10,Electronics,67254.81,Card,SUCCESS
336,76,47,2025-01-28,Travel,72247.33,NetBanking,SUCCESS
337,32,18,2025-10-22,Electronics,18687.71,NetBanking,SUCCESS
338,85,20,2024-07-29,Home,45558.82,Card,FAILED
339,38,42,2024-02-25,Grocery,37167.09,UPI,SUCCESS
340,64,41,2025-08-31,Electronics,39668.66,UPI,SUCCESS
341,41,9,2025-01-31,Home,31622.68,Card,FAILED
342,99,5,2024-01-18,Home,5158.19,NetBanking,SUCCESS
343,6,4,2025-02-11,Home,21557.94,Cash,FAILED
344,90,26,2024-03-25,Software,40288.7,Card,SUCCESS
345,11,20,2024-03-21,Home,69077.27,Card,REFUNDED
346,42,26,2025-08-23,Software,57265.49,UPI,SUCCESS
347,90,28,2024-09-01,Electronics,18411.53,Cash,SUCCESS
348,59,40,2025-09-15,Electronics,23265.83,Card,SUCCESS
349,2,46,2024-05-20,Software,950.16,Cash,SUCCESS
350,67,34,2024-09-22,Grocery,27953.02,NetBanking,SUCCESS
351,99,2,2024-12-09,Fashion,20471.35,UPI,SUCCESS
352,92,37,2025-10-04,Electronics,37261.45,NetBanking,SUCCESS
353,64,37,2024-06-19,Travel,11882.52,UPI,REFUNDED
354,87,47,2024-04-28,Grocery,55584.42,UPI,SUCCESS
355,2,16,2024-02-17,Fashion,27361.84,Card,SUCCESS
356,5,36,2025-11-02,Fashion,16916.2,Card,FAILED
357,93,21,2024-10-04,Electronics,42908.04,UPI,REFUNDED
358,87,4,2024-07-02,Grocery,60344.92,UPI,FAILED
359,9,30,2024-10-16,Travel,24614.84,Cash,SUCCESS
360,48,13,2024-10-25,Home,58859.59,Card,FAILED
361,48,38,2025-05-20,Grocery,54961.5,Card,SUCCESS
362,1,27,2024-01-25,Grocery,40661.74,UPI,SUCCESS
363,1,49,2025-11-04,Fashion,63690.55,NetBanking,SUCCESS
364,27,34,2024-08-31,Fashion,36952.96,UPI,SUCCESS
365,92,18,2024-04-05,Electronics,69103.45,Cash,SUCCESS
366,59,48,2024-03-27,Home,7258.72,Card,FAILED
367,10,38,2025-08-04,Electronics,32680.22,Card,SUCCESS
368,38,17,2024-11-18,Fashion,52584.35,NetBanking,SUCCESS
369,58,18,2024-08-27,Electronics,70772.25,Card,REFUNDED
370,14,10,2024-04-18,Grocery,33772.55,NetBanking,FAILED
371,16,35,2025-01-01,Grocery,33948.59,Cash,SUCCESS
372,16,6,2024-06-10,Software,22885.7,UPI,SUCCESS
373,42,10,2024-04-03,Software,18691.59,NetBanking,FAILED
374,66,4,2025-11-24,Travel,19586.49,Card,SUCCESS
375,52,29,2025-07-23,Software,41304.05,UPI,FAILED
376,14,9,2024-05-04,Electronics,4719.02,Card,SUCCESS
377,26,26,2025-01-16,Software,47309.29,UPI,REFUNDED
378,76,17,2024-03-17,Electronics,74787.39,Card,FAILED
379,17,6,2024-12-05,Electronics,3297.95,Cash,SUCCESS
380,22,37,2025-03-19,Software,29685.4,UPI,FAILED
381,88,28,2024-06-25,Travel,16182.24,Card,SUCCESS
382,36,29,2024-06-01,Electronics,46096.58,Card,SUCCESS
383,64,27,2025-07-17,Fashion,4667.33,NetBanking,FAILED
384,18,27,2024-07-23,Software,66360.47,Card,REFUNDED
385,3,25,2025-12-31,Travel,36028.36,Cash,SUCCESS
386,73,33,2024-11-25,Fashion,20355.63,UPI,SUCCESS
387,77,15,2024-01-31,Travel,4488.48,Cash,REFUNDED
388,46,50,2025-08-21,Grocery,73051.09,UPI,SUCCESS
389,85,16,2024-09-29,Home,61239.76,UPI,SUCCESS
390,74,25,2024-12-29,Grocery,13289.92,NetBanking,SUCCESS
391,76,2,2025-12-21,Software,26440.99,Card,REFUNDED
392,25,32,2025-07-09,Travel,13249.2,UPI,SUCCESS
393,8,15,2025-09-08,Grocery,1592.61,Cash,SUCCESS
394,43,40,2024-07-25,Grocery,25622.85,Card,SUCCESS
395,8,2,2024-05-31,Home,52881.76,Card,SUCCESS
396,68,24,2024-03-15,Travel,52869.9,Cash,REFUNDED
397,13,22,2024-11-05,Travel,10320.23,Card,FAILED
398,82,32,2025-10-26,Travel,13147.78,NetBanking,SUCCESS
399,86,38,2024-06-28,Fashion,23081.06,NetBanking,SUCCESS
400,23,47,2024-01-02,Software,71157.49,Cash,REFUNDED
401,5,12,2025-09-08,Travel,69085.76,Card,REFUNDED
402,14,32,2024-05-24,Travel,55926.22,Card,SUCCESS
403,41,11,2025-10-13,Electronics,61642.47,NetBanking,FAILED
404,2,17,2024-08-02,Grocery,52018.89,NetBanking,SUCCESS
405,14,47,2024-01-02,Electronics,29006.69,Cash,SUCCESS
406,53,32,2025-01-22,Travel,40997.2,UPI,FAILED
407,74,42,2025-12-04,Grocery,12282.97,UPI,SUCCESS
408,38,2,2024-11-22,Travel,71379.49,UPI,SUCCESS
409,22,25,2024-06-13,Software,5717.68,UPI,SUCCESS
410,77,40,2025-05-09,Software,2421.39,Card,REFUNDED
411,56,11,2024-02-24,Electronics,24898.98,Card,FAILED
412,90,36,2025-07-07,Travel,49578.78,NetBanking,SUCCESS
413,13,4,2025-02-06,Home,41269.73,Cash,SUCCESS
414,7,24,2024-01-04,Fashion,6663.36,Cash,SUCCESS
415,13,2,2024-07-30,Grocery,47900.48,UPI,FAILED
416,15,20,2025-02-11,Fashion,36733.35,NetBanking,SUCCESS
417,83,35,2025-01-31,Grocery,27889.44,Cash,SUCCESS
418,24,29,2024-02-15,Travel,33036.56,NetBanking,SUCCESS
419,35,37,2024-03-04,Grocery,56442.41,UPI,SUCCESS
420,86,23,2025-07-08,Fashion,72805.84,Card,REFUNDED
421,8,25,2025-06-19,Fashion,72425.52,Cash,REFUNDED
